"","difRt","difBT","difBD","Rprom","BTprom","BDprom"
"Rlast_1991_2007",-0.93882674697838,-0.921022165898899,-0.0142620377748242,113881.758823529,1041419.52941176,503921.058823529
"Rlast_2008_2012",0.460969828059734,0.26154655941579,0.47440848485372,409619,2709162,972443.4
"Rlast_2013_2021",-0.229876984636355,0.0981964740865545,0.478462880163192,179527.711111111,2218432.22222222,980003.111111111
"Rlast_2013_2020",-0.266262562077387,0.109131492376971,0.507894648161253,174369.05,2245662.5,1038615
"Rlast_historico",-0.222305274282848,-0.21092028730491,0.287859360976134,180639.816129032,1652123.61290323,717706.548387097
